Timestamp,DeviceName,AccountName,ActionType,RemoteIP,RemotePort,RemoteUrl,InitiatingProcessCommandLine,InitiatingProcessSHA256
2 Jul 2025 11:25:27 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,https://d.dropbox.com,"""DropboxClient_227.4.4774.x64.exe"" /S /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsIm9tYWhhLWluc3RhbGxlci1pZCI6IntGQzVCQjNBNC1DNTNDLTQ3ODktQkYzNS1BQzlBQzIzQzBBNTh9IiwicmVxdWVzdF9zZXF1ZW5jZSI6MX0 /InstallType:MACHINE",7f1cba72d3d8959557de69d931311bb6e243feeab7d8a69a1b42e97f4a50dd9a
2 Jul 2025 11:25:58 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.4.18,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:25:59 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,4.153.57.10,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:00 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,3.171.100.73,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.16,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.96.153.111,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,172.253.63.84,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,64.233.180.94,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:01 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.163.84,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
